plant_id,scientific_name,common_name,display_name,plant_family,image_url,image_source,native_states,growth_habit,plant_type,zone_min,zone_max,maintenance,soil_description,soil_moisture,soil_ph,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_color,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,supports_bee_observed,supports_butterfly_observed,supports_hummingbird_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,has_ladybird_data,has_pollinator_data
PLANT-00944,Ulmus rubra,"Slippery Elm, Red Elm, Gray Elm, Soft Elm","Slippery Elm, Red Elm, Gray Elm, Soft Elm",Ulmaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/19572287/medium.jpeg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Tree,Tree,3,9,Medium,"Moist, rich to dry, limestone soils.",Moist,Alkaline (pH>7.2),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Red , Yellow , Green , Brown",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00945,Uvularia grandiflora,"Largeflower Bellwort, Large-flower Bellwort, Merrybells","Largeflower Bellwort, Large-flower Bellwort, Merrybells",Liliaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/96536/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | South Carolina | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Herb,Herbaceous perennial,4,9,Low,Humus-rich soils.,Moist,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Yellow,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00946,Vaccinium corymbosum,Highbush Blueberry,Highbush Blueberry,Ericaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/216577733/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Mississippi | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | Washington | West Virginia | Wisconsin,Shrub,Deciduous shrub,5,8,Medium,"Wet to dry, acid, rocky soils to organic peats.","Dry , Moist , Wet",Acidic (pH<6.8),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"White , Pink",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
PLANT-00947,Vaccinium macrocarpon,"Cranberry, Large Cranberry","Cranberry, Large Cranberry",Ericaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/259774277/medium.jpeg,iNaturalist,California | Connecticut | Illinois | Indiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oregon | Pennsylvania | Rhode Island | Tennessee | Vermont | Virginia | Washington | West Virginia | Wisconsin,Shrub,Broadleaf evergreen,3,7,Medium,"Wet to moist, peaty soils.",Wet,Acidic (pH<6.8),FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"White , Pink",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00948,Vaccinium stamineum,Deerberry,Deerberry,Ericaceae,https://static.inaturalist.org/photos/194120623/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Mississippi | Missouri | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Texas | Vermont | Virginia | West Virginia,Shrub,Deciduous shrub,5,9,Low,"Moist to droughty, acid soils.","Dry , Moist",Acidic (pH<6.8),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,White,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00949,Vaccinium vitis-idaea,"Lingonberry, Northern Mountain-cranberry, Cowberry","Lingonberry, Northern Mountain-cranberry, Cowberry",Ericaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/32657295/medium.jpg,iNaturalist,Alaska | Connecticut | Maine | Michigan | Minnesota | New Hampshire | Vermont | Wisconsin,Shrub,Broadleaf evergreen,3,7,Medium,"Acid, peaty or rocky soils.","Moist , Wet",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"White , Pink",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00950,Verbena hastata,"Swamp Verbena, Blue Verbena, Blue Vervain, Simpler's Joy","Swamp Verbena, Blue Verbena, Blue Vervain, Simpler's Joy",Verbenaceae,https://static.inaturalist.org/photos/6560152/medium.jpeg,iNaturalist,Alabama | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Florida | Georgia | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming,Herb,Herbaceous perennial,3,8,Low,Moist soils.,"Moist , Wet",,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Blue , Purple",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00951,Verbena stricta,"Hoary Verbena, Hoary Vervain, Tall Vervain, Woolly Verbena","Hoary Verbena, Hoary Vervain, Tall Vervain, Woolly Verbena",Verbenaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/20278651/medium.jpg,iNaturalist,Arkansas | Colorado | Illinois | Indiana | Iowa | Kansas | Kentucky | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | New Mexico | North Dakota | Ohio | Oklahoma | South Dakota | Tennessee | Texas | Wisconsin | Wyoming,Herb,Herbaceous perennial,4,7,Low,Sandy soils,Dry,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Blue , Purple",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00952,Verbesina alternifolia,"Wingstem, Yellow Ironweed","Wingstem, Yellow Ironweed",Asteraceae,https://static.inaturalist.org/photos/229484444/medium.jpg,iNaturalist,Alabama | Arkansas | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maryland | Michigan | Mississippi | Missouri | Nebraska | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Texas | Virginia | West Virginia | Wisconsin,Herb,Herbaceous perennial,4,8,Low,,Moist,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Yellow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00953,Verbesina helianthoides,Gravelweed,Gravelweed,Asteraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/40149497/medium.jpg,iNaturalist,Alabama | Arkansas | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Mississippi | Missouri | North Carolina | Ohio | Oklahoma | Tennessee | Texas,Herb,Herbaceous perennial,5,8,Low,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yellow,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
