plant_id,scientific_name_key,scientific_name,common_name,native_states,plant_type,sunlight,moisture,maintenance,zone_min,zone_max,bloom_start,bloom_end,accepted_usda_code,plant_family,growth_habit,duration,size_notes,bloom_color,bloom_time,water_use,light_requirements,soil_moisture,soil_ph,soil_description,wildlife_use,commercial_availability,propagation_description,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,pollinator_group,pollinator_observation_count,supports_bee_observed,supports_butterfly_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,supports_hummingbird_observed,has_ladybird_data,has_pollinator_data,display_name,image_url
PLANT-00099,artemisia ludoviciana,Artemisia ludoviciana,"Louisiana Artemisia, Louisiana Sage, White Sage, Prairie Sage, Silver Sage, White Sagebrush, Louisiana Wormwood, Silver Wormwood, Louisiana Sagewort, Gray Sagewort, Cudweed Sagewort, Mugwort Wormwood",Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | Florida | Georgia | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming,Herbaceous perennial,Full sun,Dry to medium,Medium,4,9,August,September,ARLU,Asteraceae,Subshrub,Perennial,Usually up to about 3 feet tall. Rarely up to 4 feet tall in desert washes.,"Red , Yellow","Jun , Jul , Aug , Sep , Oct , Nov",Low,Sun,Dry,,"Dry to mesic, rocky, shallow soils, well drained. Sand, loam, clay, caliche, limestone. Very adaptable.",,yes,Increase by sowing seeds or dividing the rhizomes in spring or fall. Mature plants may also be divided.,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Louisiana Artemisia, Louisiana Sage, White Sage, Prairie Sage, Silver Sage, White Sagebrush, Louisiana Wormwood, Silver Wormwood, Louisiana Sagewort, Gray Sagewort, Cudweed Sagewort, Mugwort Wormwood",https://inaturalist-open-data.s3.amazonaws.com/photos/118315313/medium.jpeg
PLANT-00100,artemisia vulgaris,Artemisia vulgaris,mugwort,Alaska | California | Hawaii | Indiana | Kansas | Louisiana | Massachusetts | Michigan | New Jersey | New York | North Carolina | Ohio | Oregon | Rhode Island | South Carolina | Washington | Wisconsin,Herbaceous perennial,Full sun,Dry to medium,Medium,3,8,August,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,mugwort,https://inaturalist-open-data.s3.amazonaws.com/photos/46355424/medium.jpeg
PLANT-00101,aruncus dioicus,Aruncus dioicus,"Bride's Feathers, Goat's Beard",Alabama | Alaska | Arkansas | California | Georgia | Illinois | Indiana | Iowa | Kentucky | Maine | Maryland | Massachusetts | Michigan | Mississippi | Missouri | New Jersey | New York | North Carolina | Ohio | Oklahoma | Oregon | Pennsylvania | South Carolina | Tennessee | Virginia | Washington | West Virginia | Wisconsin,Herbaceous perennial,Full sun to part shade,Medium to wet,Low,4,8,April,May,ARDI8,Rosaceae,Herb,,Up to about 6 feet tall.,White,"May , Jun , Jul , Aug","Medium , High","Sun , Part Shade , Shade","Moist , Wet",Acidic (pH<6.8),"Average to acid, mesic to moist soil.",,yes,Propagate by division or seed.,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Bride's Feathers, Goat's Beard",https://inaturalist-open-data.s3.amazonaws.com/photos/153826729/medium.jpg
PLANT-00102,arundinaria gigantea,Arundinaria gigantea,"Giant Cane, River Cane, Switch Cane, American Bamboo",Alabama | Arkansas | Delaware | Florida | Georgia | Illinois | Indiana | Kansas | Kentucky | Louisiana | Maryland | Mississippi | Missouri | North Carolina | Ohio | Oklahoma | South Carolina | Tennessee | Texas | Virginia | West Virginia,Ornamental grass,Full sun,Medium,Medium,5,9,Rarely flowers,Rarely flowers,ARGI,Poaceae,Grass/Grass-like,Perennial,Up to about 25 feet tall.,Green,"Feb , Mar , Apr , May",Medium,Part Shade,Wet,,Wet soils.,"Relied on by Bachman's Warbler, Swainson's Warbler, turkeys, Canebrake Rattlesnakes, Swamp Rabbits, Wood Bison, Black Bear, White-tailed Deer, and Elk",yes,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Giant Cane, River Cane, Switch Cane, American Bamboo",https://static.inaturalist.org/photos/35695730/medium.jpg
PLANT-00103,asarum canadense,Asarum canadense,"Canadian Wild Ginger, Wild Ginger",Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Herbaceous perennial,Part shade to full shade,Medium to wet,Low,4,6,April,May,ASCA,Aristolochiaceae,Herb,Perennial,Up to about 8 inches tall.,"Red , Green , Purple , Brown","Apr , May , Jun",Medium,"Part Shade , Shade",Moist,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)","Moist, rich soils. pH of 6 to 7 best.",,yes,Summer cuttings and fall root division best. Slow from seed.,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Canadian Wild Ginger, Wild Ginger",https://inaturalist-open-data.s3.amazonaws.com/photos/842419/medium.jpg
PLANT-00104,asarum caudatum,Asarum caudatum,"British Columbia Wild Ginger, Long-tail Wild Ginger",California | Idaho | Montana | Oregon | Washington,Herbaceous perennial,Part shade to full shade,Medium,Low,7,10,April,June,ASCA2,Aristolochiaceae,Herb,Perennial,"Up to about 10 inches tall, spreading widely.","Yellow , Green , Purple , Brown","Apr , May , Jun , Jul , Aug",Medium,Shade,Moist,,"Moist, rich soil.",,yes,Propagates easily from,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"British Columbia Wild Ginger, Long-tail Wild Ginger",https://inaturalist-open-data.s3.amazonaws.com/photos/511529038/medium.jpg
PLANT-00105,asarum shuttleworthii,Asarum shuttleworthii,wild ginger,Alabama | Georgia | New York | North Carolina | South Carolina | Tennessee | Virginia,Herbaceous perennial,Part shade to full shade,Medium to wet,Low,6,9,April,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wild ginger,https://inaturalist-open-data.s3.amazonaws.com/photos/19661921/medium.jpg
PLANT-00106,asclepias hirtella,Asclepias hirtella,"Green Milkweed, Tall Green Milkweed",Alabama | Arkansas | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Michigan | Minnesota | Mississippi | Missouri | Ohio | Oklahoma | Tennessee | West Virginia | Wisconsin,Herbaceous perennial,Full sun to part shade,Dry to medium,Low,4,8,June,August,ASHI,Asclepiadaceae,Herb,Perennial,,"White , Green , Brown","May , Jun , Jul , Aug",,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Green Milkweed, Tall Green Milkweed",https://inaturalist-open-data.s3.amazonaws.com/photos/9002086/medium.jpg
PLANT-00107,asclepias incarnata,Asclepias incarnata,"Swamp Milkweed, Pink Milkweed",Alabama | Arkansas | Colorado | Connecticut | Delaware | Florida | Georgia | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Pennsylvania | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | West Virginia | Wisconsin | Wyoming,Herbaceous perennial,Full sun,Medium to wet,Low,3,6,July,August,ASIN,Asclepiadaceae,Herb,Perennial,Up to about 5 feet tall.,"Pink , Purple","Jun , Jul , Aug , Sep , Oct",High,"Sun , Part Shade","Moist , Wet",,"Rich, wet, very muddy to average garden moisture. One of the few ornamentals that thrives in mucky clay soils. Prefers neutral to slightly acidic soil but will tolerate heavy clay.",Milkweeds are an important food source for the monarch caterpillar.,,Easy to start from seed. Established plants may be divided in spring.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Swamp Milkweed, Pink Milkweed",https://inaturalist-open-data.s3.amazonaws.com/photos/21590017/medium.jpg
PLANT-00108,asclepias purpurascens,Asclepias purpurascens,Purple Milkweed,Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Dakota | Tennessee | Texas | Virginia | West Virginia | Wisconsin,Herbaceous perennial,Full sun,Dry to medium,Low,3,8,May,July,ASPU2,Asclepiadaceae,Herb,Perennial,,"Red , Purple","May , Jun , Jul",,Sun,Dry,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Purple Milkweed,https://inaturalist-open-data.s3.amazonaws.com/photos/4194551/medium.jpg
PLANT-00109,asclepias quadrifolia,Asclepias quadrifolia,Fourleaf Milkweed,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Maryland | Massachusetts | Minnesota | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | West Virginia,Herbaceous perennial,Full sun to part shade,Dry to medium,Low,5,8,May,July,ASQU,Asclepiadaceae,Herb,Perennial,,"White , Pink","May , Jun , Jul",,"Sun , Part Shade , Shade","Dry , Moist",,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Fourleaf Milkweed,https://inaturalist-open-data.s3.amazonaws.com/photos/72389821/medium.jpg
PLANT-00110,asclepias speciosa,Asclepias speciosa,Showy Milkweed,Arizona | California | Colorado | Idaho | Illinois | Iowa | Kansas | Michigan | Minnesota | Missouri | Montana | Nevada | New Mexico | North Dakota | Oklahoma | Oregon | South Dakota | Texas | Utah | Washington | Wisconsin | Wyoming,Herbaceous perennial,Full sun,Dry to medium,Low,3,9,May,June,ASSP,Asclepiadaceae,Herb,Perennial,"Generally 1 1/2-3 ft, but can reach 6 ft (1.8 m) under favorable conditions.","Pink , Green , Purple","May , Jun , Jul , Aug , Sep",Medium,Sun,Moist,,"Can grow in course, medium, and fine soils.",Hummingbirds.,yes,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Showy Milkweed,https://inaturalist-open-data.s3.amazonaws.com/photos/4301196/medium.jpeg
PLANT-00111,asclepias sullivantii,Asclepias sullivantii,"Prairie Milkweed, Sullivant's Milkweed, Smooth Milkweed",Arkansas | Illinois | Indiana | Iowa | Kansas | Michigan | Minnesota | Missouri | Nebraska | North Dakota | Ohio | Oklahoma | South Dakota | Wisconsin,Herbaceous perennial,Full sun,Medium to wet,Low,3,7,June,July,ASSU3,Asclepiadaceae,Herb,Perennial,Up to about 3 feet tall.,Pink,"Jun , Jul , Aug",Medium,Sun,"Moist , Wet",,Various moist soils.,,yes,Root cuttings can be taken in fall or early spring. Seeds may be sown outside in late fall or the following spring. Germination of spring-planted seeds is enhanced by moist stratification.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Prairie Milkweed, Sullivant's Milkweed, Smooth Milkweed",https://inaturalist-open-data.s3.amazonaws.com/photos/60310513/medium.jpg
PLANT-00112,asclepias syriaca,Asclepias syriaca,Common Milkweed,Alabama | Arkansas | Connecticut | Delaware | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Herbaceous perennial,Full sun,Dry to medium,Low,3,9,June,August,ASSY,Asclepiadaceae,Herb,Perennial,Typically 3-5 feet (90-150 cm) but can reach 8 feet (240 cm) in ditches and gardens.,"White , Purple","Jun , Jul , Aug",,Sun,Moist,,"Medium to fine sandy, clayey, or rocky calcareous soils. Also found in well-drained loamy soils.",,,Spreads via rhizomes and forms small to large clones. Rhizomes can be cut and transplanted early in the spring.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Common Milkweed,https://inaturalist-open-data.s3.amazonaws.com/photos/99923276/medium.jpg
