Height..ft.,fix
Leaves up to about 4 feet long.,4
From 60 to 200 feet tall. Trunk 2-1/2 to 4 feet in diameter.,60–200
25–45,25–45
Up to about 150 feet tall. Some varieties much shorter.,150
45,45
"Height 20-40 feet, spread 20-30 feet.",20–40
Up to about 45 feet tall. Trunk to about 3 feet in diameter.,45
"Up to about 25 feet tall, often much shorter.",25
9 inches to 2 feet high,0.75–2
7–30,7–30
Twining stems up to about 80 feet long.,80
1–3.5,1–3.5
Grows up to 4 feet in height.,4
"Up to about 65 feet tall, with a rounded or pyramidal shape. The trunk is short and the lower branches often wide spreading.",65
Up to about 4-1/2 feet tall.,4.5
"Stems climbing, up to about 20 feet long.",20
Up to about 30 feet tall.,30
Up to about 150 feet tall. Trunk to about 5 feet in diameter.,150
4 to 9 inches high,0.33–0.75
"To about 3 feet in height, though much of this emersed plant may be submerged.",3
"Aquatic, floating stems up to about 12 feet long.",NA
Up to about 30 inches tall when flowering.,2.5
Usually up to about 75 feet tall. Can be much taller.,75
Normally 2-3 ft but can reach 5 ft,2-5
"Height 15-40 feet, spread 30-60 feet.",15-40
5–25,5-25
Fronds up to about 8 feet long.,4-8
3–8,3-8
26,26
6–8,6-8
3.5,3.5
"Stems twining, up to about 20 feet long.",20
Leaves up to about 2-1/2 feet long. Flower stalk up to about 15 feet tall.,15
Up to about 130 feet tall.,130
"Up to about 20 feet tall, often shorter.",20
Fronds up to about 18 inches long.,1.5
30-60 feet tall.,30-60
Up to about 18 inches tall on forest floor. Up to about 5 feet tall when shrub-like. Up to about 100 feet long as a vine.,1.5-5
12–50,12-50
6–30,6-30
20,20
Up to about 100 feet tall.,100
To about 18 inches in height.,1.5
5–15,5-15
6–60,6-60
Up to about 20 feet tall when growing as a tree. Much shorter when shrub-like.,20
Up to about 9 feet tall.,9
"Height 40-50 feet, spread to 40 feet.",40-50
Up to about 15 feet long.,15
Up to about 2 feet tall. Stems sometimes decumbent.,2
To about 6 feet in height; usually around 3 feet.,6
"Up to about 35 feet tall, often much shorter.",35
Height and spread 4-12 feet.,4-12
"Stems ascending to erect, up to about 2 feet long.",2
73,73
Up to about 42 inches tall.,3.5
"Up to about 16 inches tall, often shorter.",1.33
Fronds up to about 3 feet long.,2-3
4–8,4-8
Up to about 2 inches tall.,0.16
"Usually matted or spreading, sometimes erect. Stems up to about 6 feet long, often much shorter.",6
"Up to about 45 feet tall, often much shorter.",45
1.5–8,1.5-8
"Up to about 6 feet tall, often shorter.",6
Stems up to about 60 feet long.,60
"Normally grows to a height of 18 feet (5.5 m) and occasionally to
41 feet (12.5 m).",18-41
15–20,15-20
Up to about 65 feet tall.,65
To about 24 feet in height.,24
"Normally 4 to 6 feet, occasionally up to 10 feet, at maturity, which it reaches in about 5 years. Once it reaches this height, its life is nearing its end, as it only lives about 5 years.",4-10
Up to about 80 feet tall.,80
"Up to about 15 feet tall, often shorter.",15
8-20 feet tall.,8-20
Up to about 15 inches tall.,1.25
Up to about 35 feet tall.,35
"Height 1 to 5 feet, spread 6 to 8 feet.",1-5
Up to about 25 feet tall.,25
Up to about 5 inches tall.,0.42
5–30,5-30
Up to about 50 feet tall. Often much shorter and shrub-like.,50
"Up to about 6 feet tall, often much shorter.",6
Stems up to about 1 foot long. Central,1
Stems up to about 12 feet long.,12
"Up to about 55 feet tall, usually much shorter.",55
"Up to about 50 feet tall, usually much shorter.",50
3.2,3.2
"Trunk up to about 5 feet tall, topped with",5
1–6,1–6
0.2,0.2
2.7,2.7
8–12,8–12
"Up to about 10 inches tall, to 8 inches wide.",0.83
Stems,NA
2–15,2–15
To about 4 feet in height.,4
9,9
18-36 inches in height.,1.5-3
Up to about 18 inches tall when flowering.,1.5–3
6–9,6–9
To about 30 inches in height.,2.5
"Stems trailing, shoots up to about 2 inches tall.",0.17
Up to about 18 feet tall.,18
"Height 2-3 feet, spread 2-3 feet.",2–3
"Up to about 4 feet tall, often much shorter.",4
Up to about 18 inches tall when flowering. Up to about 1 foot tall when not flowering.,1.5
To about 3 feet in height.,3
Up to about 3-1/2 feet tall.,3.5
4–16,4–16
"Normally 4-9 inches tall, but can reach 1-2 feet high.",0.33–2
"1.5 to 2 feet tall, spreading 1 to 1.5 feet.",1.5–2
"Up to about 5-1/2 feet tall, often shorter.",5.5
"Shrub-like to about 3 feet tall, or climbing to about 30 feet within",3
Up to about 100 feet.,100
"Mat-forming, up to about 6 inches tall by 1 foot across.",0.5
Medium,NA
Small,NA
Medium to large,NA
"Up to about 15 feet tall, often much shorter.",15
4–12,4-12
